Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5205,5092,4952,4437,5200.044999999999,5091.116666666667,4948.433333333333,4225.7266666666665
5188,5080,4996,5013,5179.809166666666,5078.513833333333,4992.569833333334,5075.320071428572
5197,5016,4040,5053,5200.825833333333,5023.244119047619,4138.798238095238,5026.470642857143
5196,5081,4720,5112,5187.576571428572,5083.682428571427,4813.091428571428,5108.302428571427
5189,5084,5008,4792,5190.075166666667,5083.342333333333,4938.641666666666,4654.322845238095
5176,5084,4993,5097,5182.9275,5079.570499999999,4992.037333333333,5098.598000000001
5181,5077,4992,5105,5178.756833333334,5078.066000000001,4986.433999999999,5096.706928571428
5181,5081,4992,5105,5179.094047619047,5081.3680952380955,4986.386666666667,5092.973
5201,5097,4033,5136,5193.666,5088.482000000001,4605.3375,5092.889833333334
5172,5092,5000,4869,5176.580365079365,5075.864285714287,4990.365928571429,5088.596785714286
5180,5073,4984,5100,5180.9631666666655,5077.6805,4992.013833333333,5082.3279999999995
5193,5085,5013,4700,5171.883,5086.68,5008.655,4647.111666666667
3613,4181,4649,4860,4001.705,4270.234777777778,4680.73,4833.96
5200,5076,4992,5068,5200.675,5076.32,4980.043333333333,5069.7
3408,4964,5005,5112,4116.966404761904,4938.1795,4998.377833333332,5102.611916666667
5185,5060,4992,5101,5187.4231666666665,5000.070166666666,4997.2035,4770.754
5188,5044,4997,5104,5190.733666666666,5070.86,4993.6821666666665,5093.294476190476
5172,5076,5004,4308,5187.575642857144,5031.616904761905,4889.76932900433,4999.10135064935
5196,5073,4988,5097,5189.115833333333,5076.120666666666,4991.3966666666665,5093.686619047619
5192,5077,5009,4641,5194.782499999999,5075.923999999999,5012.135333333334,4599.630166666666
5217,4221,4988,5100,5223.278333333333,4229.885,4991.3025,5102.375
5197,5100,4085,5116,5196.125476190477,5099.8725,4138.165083333333,5132.19
5205,5100,4345,5116,5196.1315,5097.002,4207.851333333333,5130.210833333332
5188,5065,4988,5100,5188.29511904762,5075.059166666668,4927.183487012987,5090.2446666666665
5185,5076,4989,5092,5190.166166666667,5077.650976190475,4988.091214285714,5086.713500000001
5189,5088,4992,5097,5187.035,5062.022333333333,4991.84,5098.3116666666665
5177,5080,4988,5092,5181.112,5083.020476190476,4990.722916666667,5095.855
5180,5076,4988,5100,5179.898499999999,5062.6675,4988.449833333333,5093.112249999998
5193,5077,4992,5100,5177.276833333334,5078.839833333334,4990.327247474747,5004.370999999999
5189,5084,4913,5092,5196.606171606171,5079.9517812187805,4939.363693084693,5092.988632506381
5188,5077,4836,5104,5189.371083333333,5079.120428571428,4910.833181818181,5091.517416666667
5196,5080,4749,5108,5196.422666666666,5095.500166666668,4691.606833333334,5105.6106666666665
3840,5049,4996,5097,4083.015666666667,5046.725666666666,4997.597,5099.478
3349,5041,4996,5100,3649.186666666667,5048.005,4999.7508333333335,5088.312333333333
4037,5049,5000,5109,4011.0919999999987,5016.536047619047,4991.496333333333,5082.489166666667
5168,5085,5004,4880,5174.7631666666675,5038.729833333333,5022.134190476191,4280.18411904762
5181,5080,4996,5101,5177.438202380952,5078.785333333334,4992.303476190476,5099.180440476191
5204,5084,4992,5093,5194.956666666667,5081.65,4986.161666666666,5082.979333333334
5192,5072,4989,5104,5191.0478571428575,5079.0125,4987.669,5089.253333333333
5193,5104,3952,5117,5190.218857142857,5091.0025000000005,4482.383166666667,5117.805333333333
5053,5053,5000,5109,4817.275,5051.496071428571,4995.414333333333,5097.057071428571
5180,5088,4993,5097,5178.6625,5073.204333333333,4973.388333333333,5089.729166666666
5193,4640,5021,5109,5206.843785714286,4583.363166666666,5001.593,4967.910333333333
5208,4161,4977,5104,5210.798666666667,4318.7015,4981.959619047619,5079.878857142857
5200,5081,5016,4232,5198.942857142857,5078.910833333333,4994.604166666667,4419.6388333333325
